@relation dataset

@attribute my_class_label {0,1}
@attribute text string

@data
0,'Grows at pH 5.7, but not in the presence of 0.001\% lysozyme and 5\% NaCl.'
0,'Cells are rod shaped (0.5 to 0.9 by 3.0 to 5.0'
0,'Cells are Gram-positive or Gram-variable, facultatively anaerobic, motile, tapered rods (0.6-1.2 1.2 s.or in short chains.ed with pyridoxal hyd'
0,'Cells are rod-shaped, Gram-stain-negative and strictly aerobic.'
0,'The type species is Cesiribacter andamanensis .'
0,'Positive for Biolog GN2 MicroPlate substrates: α-cyclodextrin, glycogen, α-D-glucose, D-sorbitol, pyruvic acid methyl ester, succinic acid mono-methyl ester, α-ketovaleric acid, L-alaninamide, L-asparagine, L-aspartic acid, L-glutamic acid, glycyl-L-glutamic acid, L-leucine, L-ornithine, L-proline and L-threonine, but negative for dextrin, Tween-40, Tween-80, N-acetyl-D-galactosamine, N-acetyl-D-glucosamine, adonitol, D-arabitol, D-cellobiose, i-erythritol, D-fructose, L-fucose, D-galactose, gentiobiose, m-inositol, α-D-lactose, lactulose, maltose, D-mannitol, D-mannose, D-melibiose, β-methyl-D-glucoside, D-psicose, D-raffinose, L-rhamnose, sucrose, D-trehalose, turanose, xylitol, acetic acid, cis-aconitic acid, citric acid, formic acid, D-galactonic acid lactone, D-glucuronic acid, D-glucosaminic acid, D-glucuronic acid, α-hydroxybutyric acid, β-hydroxybutyric acid, γ-hydroxybutyric acid, p-hydroxyphenylacetic acid, itaconic acid, α-ketobutyric acid, α-ketoglutaric acid, D-,L-lactic acid, malonic acid, quinic acid, D-saccharic acid, sebacic acid, bromosuccinic acid, succinamic acid, glucuronamide, D-alanine, L-alanine, L-alanyl-glycine, glycyl-L-aspartic acid, L-histidine, hydroxy-L-proline, L-pyroglutamic acid, D-serine, L-serine, D-,L-carnitine, c aminobutyric acid, urocanic acid, inosine, uridine, thymidine, phenylethylamine, putrescine, 2-aminoethanol, 2,3-butanediol, glycerol, D-,L-α-glycerol phosphate, α-D-glucose-1-Phosphate and D-glucose-6-phosphate.'
0,'Polar lipids include phosphatidylglycerol, phosphatidylglycerol phosphate methyl ester, two major and one minor glycolipids similar to those of Natrinema pellirubrum and a unidentified glycolipid.'
0,'Do not form endospores.'
0,'Paenibacillus sediminis (se.di′mi.nis.'
0,'Nodosus is infected hooves of sheep and goats.'
0,'Both nonhydroxylated and 3-hydroxylated long-chain fatty acids are present.'
0,'H2S, indole and acetoin (Voges-Proskauer reaction) production are negative.'
0,'Rods are straight, 0.7-0.9 d or occasionally slightly tapered ends.am-negative rods, occurring singly or in pairs.orangia.s on TSA.y swollen'
0,'Growth on MSA is red.'
0,'The average cell size in PY-glucose cultures was 1.1 by 1.7 ong'
0,'Optimal conditions are 37-40 °C, pH 7.0-7.5 and 25 \% (4.3 M) NaCl.'
0,'Obligately anaerobic, gram-positive nonmotile rods occurring singly and in pairs, occasionally in chains.'
0,'Acid is produced from aesculin ferric citrate, N-acetylglucosamine, lactose and 5-ketogluconate, but not from the other substrates of the Biolog GP2 plate.'
0,'G+C content of the DNA is 31-33 mol\%.'
0,'The DNA G+ C content of the type strain is 46 mol\%.'
0,'Growth occurs from 15 to 37 celsius_degree (optimum, 30 celsius_degree ), but not at 42 celsius_degree .'
0,'Accumulates glycine betaine and glutamate as major osmoprotectants.'
0,'No growth occurred at 45OC.'
0,'Colonies on half-strength marine agar are circular, 2-3 mm in diameter, smooth, orangish red, translucent and raised with entire margins.'
0,'Strains have been isolated from the human, chicken and pig gut.'
0,'No bathochromic shift is observed on the addition of 20 \% KOH to colonies.'
0,'No strains were available for further study until Beerens and Demonchy (1) isolated from a lung abscess an organism with the characteristics of Tissier’s strains, except that gas was not formed and carbohydrate media were not acidified.'
0,'Bacillus funiculus (fu.niollected'
0,'Three   strains   (strains   VII14*,  VIII52,  and  P21)  are  not  pigmented.'
0,'Gram-positive,  long,  irregular rod-shaped,  chain-forming  cells,  0.5-2.0x0.7-7.0 μm,  non-spore-forming.'
0,'Its characteristics are in agreement with those given in the species description.'
0,'The strain shows strong and true lipolytic activity.'
0,'Does not produce acid from glycerol or N-acetylglucosamine.'
0,'H2S is not produced, and 50\% seawater is required for growth.'
0,'The major cellular fatty acid components are anteiso-C 15:0 and iso-C 16:0.'
0,'N. nema a filament.'
0,'M.L. adj. rnigulanus, referring to the German bacteriologist  W .'
0,'The archaellum is structurally similar to T4P of Gram-negative bacteria, but functionally resembles bacterial flagella as it is used for swimming (motility).'
0,'The bundles originate alternately from the concave areas along the curved cell body.'
0,'Hemolysins  are  not  detected.'
0,'No flexirubin pigment detected.'
0,'They   exhibit  catalase,  urease,   arginine  dihydrolase,  nitrate  reductase,  nitrite  reductase,  olytic  activity.obically,  and  even  slight  anaerobic'
0,'N. pinnipedii of a pinniped, referring to the host animal from which the organism was first isolated).'
0,'Ribose is the only whole-cell sugar.'
0,'The DNA G+C content of the type strain is 42.5 mol\% (HPLC).'
0,'Positive reactions for leucine arylamidase, valine arylamidase, cystine arylamidase, trypsin, acid phosphatase, naphthol-AS-BI-phosphohydrolase, α-glucosidase and α-mannosidase in the API ZYM system.'
0,'Susceptible to carbenicillin, doxycycline and tetracycline.'
0,'Sensitive to clindamycin, cefoxitin, chloramphenicol, erythromycin and metronidazole.'
0,'The genomic DNA G+ C content is 47.2 mol\%.'
0,'According to the API ZYMgallery, gives a positive reaction in tests for N-acetyl-β-glucosaminidase, acid phosphatase, alkaline phosphatase, α-galactosidase and leucine arylamidase.'
0,'No microaerophilic or aerobic growth occurs.'
0,'Cells are nonsporulating, nonmotile, gram-negative rods that are 1 to 5 µm long by 0.3 to 0.5 µm wide in 48-h liquid cultures.'
0,'No gliding motility observed.'
0,'The major fatty acids (>10\% of total fatty acids) are anteiso-C15:0, iso-C15:0, anteiso-C17:0 and iso-C17:0.'
0,'S. haemolyticus sp.n. (hae.mo.lyom skin'
0,'Xylose, fructose, glucose, cellobiose, xylooligosaccharide, cellulose (filter-paper fragments and ball-milled filter paper) and xylan are utilized as growth substrates.'
0,'Colonies are circular, convex, viscous, shiny with entire edges, 1-3 mm in diameter on marine agar.'
0,'Susceptible to chloramphenicol, lincomycin and tetracycline, but not to ampicillin, carbenicillin, cephalothin, gentamicin, kanamycin, neomycin, novobiocin, oleandomycin, penicillin G, polymyxin B and streptomycin.'
0,'Cells are rod-shaped (0.6-0.7 0.8ve.o 1.2  staphylococcal appearance, i.e. they occur si'
0,'The pigment present is of the flexirubin type, with absorption maxima at 428, 452 and 478 nm.'
0,'In API 20E tests, positive results are obtained in the Voges-Proskauer test and for gelatinase activity, but negative results are obtained for arginine dihydrolase, lysine decarboxylase, ornithine decarboxylase, tryptophan deaminase, urease, hydrogen sulphide production and indole production.  Acid is not produced from D-glucose, melibiose, amygdalin, L-arabinose, D-mannitol, inositol, D-sorbitol, L-rhamnose or sucrose.'
0,'Strains grow nearly as well at 35°C, moderately well at 32°C and poorly if at all at 40°C.'
0,'They are 1.5 to 2 mm in diameter.'
0,'Utilization of 5-ketogluconate and malate is positive after 14 days of incubation.'
0,'Cells stain Gram-positive and are ellipsoidal, spore-forming rods (straight or slightly curved), 0.8-1 µm wide and 4-25 µm long and non-motile and occur singly or occasionally in pairs.'
0,'The G+C content of the deoxyribonucleic acid of both strains was close to 26 mol \%, and their genome size measured 1820 kbp.'
0,'Cells are Gram-stain-negative, non-spore-forming, strictly aerobic, straight rods devoid of flagellar and gliding motility.'
0,'Growth occurs at 14-30 celsius_degree (optimum 22-25 celsius_degree ) and pH 6.0-8.0.'
0,'Sensitive  to  lysostaphin  (200    200  MIC'
0,'Susceptible to  lysostaphin  (minimal  inhibitory  concentration,  50  and tetracycline.,  and  novobiocin.a'
0,'In the Microlog GN2 microplate, α-cyclodextrin, dextrin, L-arabinose, D-fructose, lactulose, maltose, D-galactose, D-mannose, melibiose, methyl β-D-glucoside, sucrose, glucuronamide, L-alanine, L-alanyl glycine, glucose 1-phosphate, cis-aconitic acid, citric acid, α-ketobutyric acid, α-ketoglutaric acid, DL-lactic acid, succinic acid, succinamic acid, L-glutamic acid, glycyl L-glutamic acid, L-pyroglutamic acid, N-acetyl-D-glucosamine, erythritol, myo-inositol, D-psicose, methyl pyruvate, L-serine, alaninamide, L-asparagine, L-threonine, inosine, DL-α-glycerol phosphate, acetic acid, D-gluconic acid, β-hydroxybutyric acid, propionic acid, p-hydroxyphenylacetic acid, α-ketovaleric acid and D-saccharic acid are utilized.'
0,'Strain HPD52 has been deposited in the Japan Collection of Microorganisms as strain JCM 8505T.'
0,'Tests which are helpful in differentiating Alistipes putredinis and Alistipes finegoldii from each other are shown in Table 4.'
0,'The following substrates are not utilized for growth: D-fructose, D-galactose, D-xylose, L-rhamnose, D-ribose, L-fucose, L-sorbose, raffinose, D-sorbitol, inositol, D-mannitol, dulcitol, glycerol, glycogen, acetate, citrate, gluconate, 3-or 4-hydroxybenzoate, malonate, itaconate, 2-or 5-ketogluconate, DL-3-hydroxybutyrate, valerate, malate, propionate, caprate, phenylacetate, adipate, lactate, suberate, L-alanine, L-histidine, L-proline or L-serine.'
0,'Only moderate or poor growth occurred at 25.e broth and PY-glucose-bile broth.r lipase (EYA).drolyze hippurate.nase or l'
0,'Is able to grow over a wide range of salt concentrations (3-20\%, w/v), with optimal growth at 10\% (w/v) salts.'
0,'Morphology and general characteristics are as described for the genus.'
0,'Most characteristics of the type strain are in agreement with the general subspecies description.'
0,'On glucose broth, the pH reaches 5.0.'
0,'Cells cultured in GYP medium contain iso-C15:0, anteiso-C15:0 and anteiso-C17:0 as predominant cellular fatty acids.'
0,'Bacillus vireti (vi.re 222'
0,'The type strain, ZS1-8T (= JCM 17291T= DSM 23421T), was isolated from sandy intertidal sediment on the coast near the Chinese Antarctic Zhongshan Station in eastern Antarctica.  The genomic DNA G+ C content of the type strain (as determined by HPLC) is 43.9 mol\%.'
0,Dim.
0,'The major fermentation products froµglucose metabolism are acetic acid and succinic acid.'
0,'The polar lipids include phosphatidylethanolamine, phosphatidylserine, seven unidentified lipids, six unidentified aminolipids and a sphingolipid.'
0,'The type strain is ISL-16 (=KCTC 13584 =CCUG 57753), isolated from a marine solar saltern of the Yellow Sea, Korea.'
0,'Does not require yeast extract for growth, and can use inorganic nitrogen sources such as sodium nitrate and ammonium chloride.'
0,'Growth occurs aerobically and anaerobically in the presence of 0-7.5 \% NaCl (w/v).'
0,'Hormogonia are not observed.'
0,'Acetic acid, erenceNaCl for optimal growth and grows in the presence of 5-10 \% (w/v) NaCl, but not at 15 \% and above, when tested in nutrient medium.el in the Himalayan mountain ranges of India. France, as strain CIP 106305T.oguan, China.(weak).ure of water-soluble vitamins.salicin, sucrose and trehalose. acid such  as  wer'
0,'Form diffuse colonies on solid medium with 0.8\% Noble agar, without fried-egg morphology.'
0,'The type strain is 7120 (=ATCC 35979), which was isolated in Upland, Calif., from the blood of a 17-year-old male in 1961.'
0,'Cells occur in short chains and have tapered ends, and each cell possesses a single, subterminal flagellum, although cells are not motile in liquid culture.'
0,'Nitrate reduction, indole production, D-glucose fermentation, arginine dihydrolase, urease, gelatin hydrolysis and assimilation of D-mannitol, caprate, adipate, malate, citrate and phenylacetate are negative.'
0,'No respiratory quinones are present.'
0,'According to API 20NE and API 20E tests, nitrate is reduced to nitrogen, the Voges-Proskauer test is negative, H2S and indole are not produced, aesculin and gelatin are hydrolysed, β-galactosidase activity is present and glucose and maltose are assimilated.'
0,'They are ellipsoidal in shape and their position within the sporangia appears to be generally subterminal.'
0,'Halophilic, requiring at least 5\% NaCl for growth.'
0,'Strain EM44T is resistant to polymyxin B, streptomycin, ampicillin, gentamicin, tetracycline, kanamycin, neomycin and oleandomycin but sensitive to penicillin G, carbenicillin, lincomycin, chloramphenicol and novobiocin'
0,'But negative for oxidase, hydrolysis of gelatin, arginine dihydrolase, lysine and ornithine decarboxylases, citrate utilization, H2S production, tryptophane deaminase and indole production.'
0,'Aesculin, starch and Tweens 20, 40, 60 and 80 are hydrolysed.'
0,'Cells are Gram-positive, obligately aerobic, spore-forming rods and are motile by means of peritrichous flagella.'
0,'Cells are motile, pleomorphic rod-shaped under optimal growth conditions and stain Gram-negative.'
0,'The type strain and reference strains WCC 4187 (=CCUG 55507) and WCC 4189 (=CCUG 55509) were isolated from the surface and smear water of German smear-ripened soft cheeses.'
0,'The major respiratory quinone is MK-8(H4).'
0,'No growth at 30 and 60 celsius_degree .'
0,'Does not require yeast extract or vitamins for growth, and can use inorganic nitrogen sources such as sodium nitrate and ammonium chloride.'
0,'Other traits are shown in Table 2.'
0,'According to API 20NE tests, activities for nitrate reductase and gelatinase are present, whereas activities for indole production, acid production froµglucose, arginine dihydrolase and urease, hydrolysis of aesculin and β-galactosidase are absent.'
0,'In the API 20E and 20NE systems, β-glucosidase and tryptophan deaminase activities are present, but protease (gelatin hydrolysis) and urease activities are absent.'
0,'Assimilates histidine, L-isoleucine, L-lysine, ornithine, L-proline and glycine as sole nitrogen sources, but not L-arginine, DL-alanine or L-methionine.'
0,'The  above-mentioned  18  strains  could  be  subdivided  into  two groups  on  the  basis  of  the  type  of  lactic acid  isomers  produced  from  glucose.'
0,'The type strain is non-haemolytic, CAMP-test negative and avirulent.'
0,'Growth occurs at 4 and 33 celsius_degree , but not at 34 celsius_degree .'
0,'The optimum growth temperature is about 30 celsius_degree .'
0,'Growth occurs at 8-40 °C.'
0,'Phosphatidylcholine is metabolized and is required for growth.'
0,'N. Pinus genus of pine trees.'
0,'Colonies on nutrient agar are dark pink, circular, convex, smooth and 2-3 mm in diameter after incubation for 6-8 days.'
0,'O-F test of glucose is oxidative.'
0,'Β-Glucosidase, esterase (C4) and α-galactosidase are produced, but cystine arylamidase, valine arylamidase, trypsin, chymotrypsin, β-glucuronidase and lipase (C14) are produced.'
0,'The polar lipid pattern contains predominant amounts of diphosphatidyl glycerol and phosphatidyl glycerol, minor amounts of two phospholipids and one polar lipid of unknown structure, traces of three additional unknown phospholipids and traces of phosphatidyl ethanolamine after ninhydrin treatment.'
0,'Hydrolyses aesculin and urea but not casein, gelatin, starch or Tween 40.'
0,'Colonies are circular, opaque, entire, 1 mm in diameter and cream-pigmented on HM medium supplemented with 10\% salts after 24 h cultivation at 37 °C.'
0,'The type strain, WB 4.1-42T  (= DSM 21790T= CIP 109867T ), was isolated from a spring of Westerhoefer Bach, Westerhof, 40 km north of Goettingen, Germany.'
0,'Proteases (for example, a trypsinlike enzyme and collagenase) are present.'
0,'Agar, alginate, pectin, chitin, casein, carboxymethylcellulose, DNA, starch, Tween 80, tyrosine and urea are not degraded.'
0,'With Leifson flagellum stain (2), cells appear to have one or more central-to-polar flagella arising from the concave side.'
0,'Slightly inhibited by AMPICILLIN, CHLORAMPHENICOL, KANAMYCIN and GENTAMICIN.'
0,'Colonies (up to 1.0 mm) are round, smooth and white.'
0,'Negative for activity of arginine dihydrolase, urease, lipase and tryptophan deaminase, nitrate reduction, H2S production from thiosulfate, indole production and growth on MacConkey agar.'
0,'Cells are Gram-positive, rod-shaped, 0.5-0.8 ntous (10.0-466.1 ore-forming with a cell size of 0.3-0.7 g to biovar 1 produce ac'
0,'The polar lipids are PG, PGP-Me and one major GL, which is chromatographically identical to S-DGD-1.'
0,'Produces acid from l-arabinose, d-fructose, d-glucose, d-mannitol, d-mannose and maltose, but not from amygdalin, cellobiose, aesculin, d-gluconic acid, glycerol, d-galactose, myo-inositol, inulin, lactose, melibiose, melezitose, methyl iose, but not from the other carbohydrates in the API 50CH kit under aerobic conditions. methyl ved.'
0,'Starch and gelatin are hydrolysed.'
0,'Does not require yeast extract for growth, and can utilize inorganic nitrogen sources such as sodium nitrate and ammonium chloride.'
0,'Growth occurs at 10 and 40  iso-C12:0 (2.0 \%), C12:0 (1.4 \%), iso-'
0,'The following additional information is from the present study: acid is not produced from d-arabinose.'
0,'Growth between 2 and 9 celsius_degree is sparse.'
0,'Old cultures in MB produce “coccoid bodies”.'
0,'Phenylalanine is not deaminated.'
0,'Gleurn have been deposited in the National Collection of Type Cultures: group IIb strain 3531 (= NCTC 10795) and strain F129 (= NCTC11433).'
0,'All of the strains studied previously have a strict requirement for heme for growth in the absence of rumen fluid (4, 5, 13).'
0,'Acid is not produced from d-mannitol by the type strain.'
0,'Both non-hydroxylated and 3-hydroxylated longchain fatty acids are present.'
0,'Does not produce lipase (C14), valine arylamidase, arginine dihydrolase, lysine decarboxylase, ornithine decarboxylase, tryptophan deaminase, urease, cystine arylamidase, trypsin, α-chymotrypsin, β-galactosidase, β-glucuronidase, α-mannosidase or α-fucosidase.'
0,'Glycerol and sodium acetate are not used at any of the concentrations tested (0.05 to 10.0 g/liter).'
0,'Cells are straight, round-ended, Gram-variable, motile rods (0.8-1.0otile, round-ended rods (0.6-1.2 s.g to biov'
0,'Description of Brevibacillus gen.'
0,'Colonies are red and circular with an entire margin and a shiny surface.'
0,'Growth and coprostanol production do not occur at pH 5.5 or 8.0 or at incubation temperatures of 25 or 45 th'
0,'Negative for glucose fermentation, L-lactate and succinate alkalinisation.'
0,'N. fimetum a dung-hill and, by extension, compost.'
0,'The type strain, XB1A T (=DSM 18836 T =CCUG 53782 T), was isolated from human faeces of a non-methane-excreting individual.'
0,'Hydrolyses aesculin, casein, DNA, gelatin and Tweens 20 and 60, but not glyceryl tributyrate, hypoxanthine, lecithin, starch, tyrosine, Tween 40 or 80 or xanthine.'
0,'Does utilize acetate, malate, glutamate, butyrate, valerate, crotonate and pyruvate but not glycerol and citrate.'
0,'Strict anaerobe.'
0,'Susceptible to (µg per disc, unless otherwise stated): chloramphenicol (30), carbenicillin (100), cephradin (30), cefoperazone (30), ciprofloxacin (5), cefalexin (30), ceftriaxone (30), clindamycin (2), doxycycline (30), erythromycin (15), cefazolin (30), minocycline (30), lincomycin (2), norfloxacin (10), ofloxacin (5), penicillin G (10), piperacillin (100), rifampicin (5), Trimethoprim +  sulfamethoxazole (1.25 +  23.75) and vancomycin (30), but resistant to ampicillin (10), gentamicin (10), kanamycin (30), metronidazole (5), oxacillin (1), polymyxin B (30 IU), streptomycin (10) and tetracycline (30).'
0,'Catalase and oxidase tests are negative.'
0,'Growth occurs at 20-45  45  growth is about 37  15-43 9  or'
0,'Susceptible to penicillin G, chloramphenicol, cephalothin, lincomycin and oleandomycin, but not to polymyxin B, gentamicin, novobiocin, kanamycin or neomycin.'
0,'Growth occurs in the presence of 0-9.0\% (w/v) NaCl with an optimum of approximately 2.0-3.0\% (w/v) NaCl.'
0,'Cells form apricotcoloured colonies on MA.'
0,'The characteristics are the same as those given in the genus description.'
0,'Produces 6-phospho-β-galactosidase, α-galactosidase, β-galactosidase, α-fucosidase, N-acetyl-β-D-glucosaminidase and alkaline phosphatase.'
0,'The genomic DNA G+C content is 40.1±1.3 or 41.1 mol\%, based on the Tm or HPLC method, respectively.'
0,'Negative for nitrate reduction, indole and H2S production, citrate utilization, hydrolysis of urea, starch, protein, gelatin and Tween 80 and activities of arginine dihydrolase, lysine dihydrolase, ornithine dihydrolase, α-and β-galactosidase, β-glucuronidase, trypsin, α-chymotrypsin, α-fucosidase and α-mannosidase.'
0,'In addition to the main polar lipids given in the emended genus description, contains an unidentified aminolipid and three unidentified lipids.'
0,'PH values in Voges-Proskauer test range from 4.5 to 5-6.'
0,'Cells stain Gram-negative.'
0,'Milk is acidified, and all but 4 of our strains coagulate the milk.'
0,'Cells are Gram-positive rods, 0.8ed (width, 0.5  km)  and  occur  singly,  in pairs,  in  tetrads,  an'
0,'Anaerobic  growth  in  semisolid  thioglycolate  medium  is  evident  after  24  to  48  h.'
0,'Motile when occurring singly but non-motile when growing in chains.'
0,'The  organism  has gram-positive spherical  cells,  0.7  to  1.4  hat  are  0.8  to  1.0  ccur singly, in pairs and in small clusters.  chains.eating at 70e to six c'
0,'The G+C content of DNA is 37 mol\%.'
0,'The type strain was recovered from a human appendiceal tissue sample.'
0,'Urea is weakly decomposed.'
0,'Cells are feebly motile, Gram-positive, round-ended rods (0.5-0.8 by 4-8 een.ost coccoid in shape (2.0-3.0 .5 to 1.0 eld microscopy.c acid) re'
0,Glycyl-β-naphthylamide.
0,'Positive reactions in tests for oxidase (some strains were weakly positive), catalase, arginine dihydrolase, o-nitrophenyl-b-D-galactopyranoside, esculin hydrolysis (delayed), and acid production from cellobiose (delayed), dextrin, fructose, D-glucose, glycogen (delayed), lactose, maltose, D-mannose, melibiose, and starch and in most strains from inulin, raffinose, and sucrose.'
0,'Little or no growth was produced at 30mot'
